HR,Time(sec),Label
88.0,1646665738.0,0
79.5,1646665739.0,0
72.33,1646665740.0,0
71.75,1646665741.0,0
67.0,1646665742.0,0
66.5,1646665743.0,0
66.29,1646665744.0,0
66.12,1646665745.0,0
65.89,1646665746.0,0
65.2,1646665747.0,0
64.91,1646665748.0,0
64.67,1646665749.0,0
65.46,1646665750.0,0
66.07,1646665751.0,0
66.53,1646665752.0,0
66.94,1646665753.0,0
67.29,1646665754.0,0
67.56,1646665755.0,0
67.79,1646665756.0,0
68.0,1646665757.0,0
68.19,1646665758.0,0
68.32,1646665759.0,0
68.43,1646665760.0,0
68.54,1646665761.0,0
68.64,1646665762.0,0
68.77,1646665763.0,0
68.89,1646665764.0,0
69.04,1646665765.0,0
69.17,1646665766.0,0
69.3,1646665767.0,0
69.42,1646665768.0,0
69.53,1646665769.0,0
69.64,1646665770.0,0
69.76,1646665771.0,0
69.89,1646665772.0,0
69.97,1646665773.0,0
70.05,1646665774.0,0
70.13,1646665775.0,0
70.21,1646665776.0,0
70.25,1646665777.0,0
70.32,1646665778.0,0
70.38,1646665779.0,0
70.44,1646665780.0,0
70.48,1646665781.0,0
70.56,1646665782.0,0
70.65,1646665783.0,0
70.79,1646665784.0,0
70.94,1646665785.0,0
71.12,1646665786.0,0
71.32,1646665787.0,0
71.53,1646665788.0,0
71.73,1646665789.0,0
71.91,1646665790.0,0
72.07,1646665791.0,0
72.24,1646665792.0,0
72.39,1646665793.0,0
72.53,1646665794.0,0
72.66,1646665795.0,0
72.78,1646665796.0,0
72.9,1646665797.0,0
72.77,1646665798.0,0
72.9,1646665799.0,0
73.3,1646665800.0,0
73.55,1646665801.0,0
74.18,1646665802.0,0
74.57,1646665803.0,0
74.93,1646665804.0,0
75.3,1646665805.0,0
75.73,1646665806.0,0
76.3,1646665807.0,0
76.95,1646665808.0,0
77.62,1646665809.0,0
78.08,1646665810.0,0
78.6,1646665811.0,0
79.05,1646665812.0,0
79.52,1646665813.0,0
79.95,1646665814.0,0
80.42,1646665815.0,0
80.88,1646665816.0,0
81.33,1646665817.0,0
81.8,1646665818.0,0
82.3,1646665819.0,0
82.82,1646665820.0,0
83.32,1646665821.0,0
83.85,1646665822.0,0
84.35,1646665823.0,0
84.82,1646665824.0,0
85.32,1646665825.0,0
85.8,1646665826.0,0
86.33,1646665827.0,0
86.78,1646665828.0,0
87.25,1646665829.0,0
87.8,1646665830.0,0
88.03,1646665831.0,0
88.27,1646665832.0,0
88.38,1646665833.0,0
88.48,1646665834.0,0
88.57,1646665835.0,0
88.63,1646665836.0,0
88.7,1646665837.0,0
88.75,1646665838.0,0
88.78,1646665839.0,0
88.82,1646665840.0,0
88.87,1646665841.0,0
88.87,1646665842.0,0
88.82,1646665843.0,0
88.68,1646665844.0,0
88.52,1646665845.0,0
88.28,1646665846.0,0
88.03,1646665847.0,0
87.77,1646665848.0,0
87.52,1646665849.0,0
87.3,1646665850.0,0
87.08,1646665851.0,0
86.88,1646665852.0,0
86.68,1646665853.0,0
86.5,1646665854.0,0
86.33,1646665855.0,0
86.17,1646665856.0,0
86.02,1646665857.0,0
85.87,1646665858.0,0
85.73,1646665859.0,0
85.57,1646665860.0,0
85.35,1646665861.0,0
85.08,1646665862.0,0
84.78,1646665863.0,0
84.47,1646665864.0,0
84.17,1646665865.0,0
83.8,1646665866.0,0
83.35,1646665867.0,0
82.78,1646665868.0,0
82.2,1646665869.0,0
81.63,1646665870.0,0
81.03,1646665871.0,0
80.55,1646665872.0,0
80.07,1646665873.0,0
79.62,1646665874.0,0
79.17,1646665875.0,0
78.7,1646665876.0,0
78.23,1646665877.0,0
77.73,1646665878.0,0
77.17,1646665879.0,0
76.58,1646665880.0,0
76.02,1646665881.0,0
75.6,1646665882.0,0
75.18,1646665883.0,0
74.8,1646665884.0,0
74.38,1646665885.0,0
73.92,1646665886.0,0
73.42,1646665887.0,0
73.02,1646665888.0,0
72.62,1646665889.0,0
72.12,1646665890.0,0
71.9,1646665891.0,0
71.68,1646665892.0,0
71.58,1646665893.0,0
71.48,1646665894.0,0
71.4,1646665895.0,0
71.33,1646665896.0,0
71.28,1646665897.0,0
71.25,1646665898.0,0
71.23,1646665899.0,0
71.22,1646665900.0,0
71.2,1646665901.0,0
71.18,1646665902.0,0
71.17,1646665903.0,0
71.2,1646665904.0,0
71.23,1646665905.0,0
71.3,1646665906.0,0
71.37,1646665907.0,0
71.43,1646665908.0,0
71.48,1646665909.0,0
71.52,1646665910.0,0
71.58,1646665911.0,0
71.63,1646665912.0,0
71.7,1646665913.0,0
71.77,1646665914.0,0
71.82,1646665915.0,0
71.9,1646665916.0,0
71.97,1646665917.0,0
72.03,1646665918.0,0
72.1,1646665919.0,0
72.15,1646665920.0,0
72.22,1646665921.0,0
72.33,1646665922.0,0
72.48,1646665923.0,0
72.65,1646665924.0,0
72.8,1646665925.0,0
72.98,1646665926.0,0
73.2,1646665927.0,0
73.4,1646665928.0,0
73.62,1646665929.0,0
73.8,1646665930.0,0
73.98,1646665931.0,0
74.13,1646665932.0,0
74.27,1646665933.0,0
74.4,1646665934.0,0
74.5,1646665935.0,0
74.6,1646665936.0,0
74.75,1646665937.0,0
74.9,1646665938.0,0
75.1,1646665939.0,0
75.3,1646665940.0,0
75.5,1646665941.0,0
75.5,1646665942.0,0
75.52,1646665943.0,0
75.53,1646665944.0,0
75.52,1646665945.0,0
75.57,1646665946.0,0
75.65,1646665947.0,0
75.73,1646665948.0,0
75.82,1646665949.0,0
75.92,1646665950.0,0
76.08,1646665951.0,0
76.25,1646665952.0,0
76.45,1646665953.0,0
76.65,1646665954.0,0
76.85,1646665955.0,0
77.03,1646665956.0,0
77.2,1646665957.0,0
77.33,1646665958.0,0
77.45,1646665959.0,0
77.57,1646665960.0,0
77.7,1646665961.0,0
77.85,1646665962.0,0
78.03,1646665963.0,0
78.18,1646665964.0,0
78.32,1646665965.0,0
78.43,1646665966.0,0
78.53,1646665967.0,0
78.63,1646665968.0,0
78.73,1646665969.0,0
78.83,1646665970.0,0
78.9,1646665971.0,0
78.98,1646665972.0,0
79.05,1646665973.0,0
79.1,1646665974.0,0
79.13,1646665975.0,0
79.13,1646665976.0,0
79.13,1646665977.0,0
79.13,1646665978.0,0
79.15,1646665979.0,0
79.17,1646665980.0,0
79.18,1646665981.0,0
79.18,1646665982.0,0
79.17,1646665983.0,0
79.15,1646665984.0,0
79.13,1646665985.0,0
79.1,1646665986.0,0
78.98,1646665987.0,0
78.83,1646665988.0,0
78.67,1646665989.0,0
78.53,1646665990.0,0
78.37,1646665991.0,0
78.33,1646665992.0,0
78.28,1646665993.0,0
78.23,1646665994.0,0
78.22,1646665995.0,0
78.18,1646665996.0,0
78.12,1646665997.0,0
78.07,1646665998.0,0
78.02,1646665999.0,0
77.98,1646666000.0,0
77.95,1646666001.0,0
77.93,1646666002.0,0
77.92,1646666003.0,0
77.88,1646666004.0,0
77.9,1646666005.0,0
77.93,1646666006.0,0
77.93,1646666007.0,0
77.93,1646666008.0,0
77.92,1646666009.0,0
77.9,1646666010.0,0
77.83,1646666011.0,0
77.75,1646666012.0,0
77.63,1646666013.0,0
77.52,1646666014.0,0
77.38,1646666015.0,0
77.28,1646666016.0,0
77.2,1646666017.0,0
77.15,1646666018.0,0
77.1,1646666019.0,0
77.05,1646666020.0,0
76.97,1646666021.0,0
76.9,1646666022.0,0
76.8,1646666023.0,0
76.73,1646666024.0,0
76.72,1646666025.0,0
76.72,1646666026.0,0
76.75,1646666027.0,0
76.8,1646666028.0,0
76.85,1646666029.0,0
76.88,1646666030.0,0
76.88,1646666031.0,0
76.88,1646666032.0,0
76.85,1646666033.0,0
76.83,1646666034.0,0
76.8,1646666035.0,0
76.75,1646666036.0,0
76.65,1646666037.0,0
76.55,1646666038.0,0
76.38,1646666039.0,0
76.28,1646666040.0,0
76.13,1646666041.0,0
76.0,1646666042.0,0
75.87,1646666043.0,0
75.75,1646666044.0,0
75.63,1646666045.0,0
75.52,1646666046.0,0
75.47,1646666047.0,0
75.45,1646666048.0,0
75.48,1646666049.0,0
75.52,1646666050.0,0
75.57,1646666051.0,0
75.37,1646666052.0,0
75.13,1646666053.0,0
74.95,1646666054.0,0
74.75,1646666055.0,0
74.58,1646666056.0,0
74.53,1646666057.0,0
74.5,1646666058.0,0
74.33,1646666059.0,0
74.22,1646666060.0,0
74.13,1646666061.0,0
74.05,1646666062.0,0
73.97,1646666063.0,0
74.05,1646666064.0,0
74.1,1646666065.0,0
74.13,1646666066.0,0
74.17,1646666067.0,0
74.18,1646666068.0,0
74.2,1646666069.0,0
74.22,1646666070.0,0
74.22,1646666071.0,0
74.22,1646666072.0,0
74.22,1646666073.0,0
74.22,1646666074.0,0
74.22,1646666075.0,0
74.18,1646666076.0,0
74.13,1646666077.0,0
74.07,1646666078.0,0
74.0,1646666079.0,0
73.93,1646666080.0,0
73.88,1646666081.0,0
73.82,1646666082.0,0
73.78,1646666083.0,0
73.75,1646666084.0,0
73.72,1646666085.0,0
73.72,1646666086.0,0
73.7,1646666087.0,0
73.68,1646666088.0,0
73.67,1646666089.0,0
73.73,1646666090.0,0
73.83,1646666091.0,0
73.93,1646666092.0,0
74.07,1646666093.0,0
74.2,1646666094.0,0
74.35,1646666095.0,0
74.5,1646666096.0,0
74.67,1646666097.0,0
74.88,1646666098.0,0
75.15,1646666099.0,0
75.38,1646666100.0,0
75.67,1646666101.0,0
75.95,1646666102.0,0
76.25,1646666103.0,0
76.5,1646666104.0,0
76.73,1646666105.0,0
76.98,1646666106.0,0
77.25,1646666107.0,0
77.55,1646666108.0,0
77.78,1646666109.0,0
78.0,1646666110.0,0
78.22,1646666111.0,0
78.55,1646666112.0,0
78.93,1646666113.0,0
79.28,1646666114.0,0
79.62,1646666115.0,0
79.93,1646666116.0,0
80.12,1646666117.0,0
80.23,1646666118.0,0
80.5,1646666119.0,0
80.68,1646666120.0,0
80.92,1646666121.0,0
81.13,1646666122.0,0
81.35,1646666123.0,0
81.42,1646666124.0,0
81.38,1646666125.0,0
81.35,1646666126.0,0
81.3,1646666127.0,0
81.23,1646666128.0,0
81.17,1646666129.0,0
80.97,1646666130.0,0
80.77,1646666131.0,0
80.58,1646666132.0,0
80.43,1646666133.0,0
80.3,1646666134.0,0
80.22,1646666135.0,0
80.17,1646666136.0,0
80.12,1646666137.0,0
80.07,1646666138.0,0
80.03,1646666139.0,0
80.0,1646666140.0,0
79.98,1646666141.0,0
79.97,1646666142.0,0
79.93,1646666143.0,0
79.9,1646666144.0,0
79.85,1646666145.0,0
79.78,1646666146.0,0
79.72,1646666147.0,0
79.63,1646666148.0,0
79.55,1646666149.0,0
79.42,1646666150.0,0
79.28,1646666151.0,0
79.15,1646666152.0,0
79.05,1646666153.0,0
78.95,1646666154.0,0
78.87,1646666155.0,0
78.83,1646666156.0,0
78.83,1646666157.0,0
78.78,1646666158.0,0
78.75,1646666159.0,0
78.68,1646666160.0,0
78.58,1646666161.0,0
78.47,1646666162.0,0
78.33,1646666163.0,0
78.23,1646666164.0,0
78.15,1646666165.0,0
78.07,1646666166.0,0
78.0,1646666167.0,0
77.93,1646666168.0,0
77.92,1646666169.0,0
77.88,1646666170.0,0
77.83,1646666171.0,0
77.78,1646666172.0,0
77.7,1646666173.0,0
77.6,1646666174.0,0
77.5,1646666175.0,0
77.4,1646666176.0,0
77.32,1646666177.0,0
77.27,1646666178.0,0
77.2,1646666179.0,0
77.15,1646666180.0,0
77.02,1646666181.0,0
76.9,1646666182.0,0
76.77,1646666183.0,0
76.63,1646666184.0,0
76.6,1646666185.0,0
76.55,1646666186.0,0
76.5,1646666187.0,0
76.47,1646666188.0,0
76.43,1646666189.0,0
76.53,1646666190.0,0
76.65,1646666191.0,0
76.77,1646666192.0,0
76.88,1646666193.0,0
77.0,1646666194.0,0
77.07,1646666195.0,0
77.12,1646666196.0,0
77.17,1646666197.0,0
77.2,1646666198.0,0
77.23,1646666199.0,0
77.25,1646666200.0,0
77.25,1646666201.0,0
77.25,1646666202.0,0
77.27,1646666203.0,0
77.3,1646666204.0,0
77.33,1646666205.0,0
77.35,1646666206.0,0
77.37,1646666207.0,0
77.37,1646666208.0,0
77.37,1646666209.0,0
77.37,1646666210.0,0
77.37,1646666211.0,0
77.35,1646666212.0,0
77.3,1646666213.0,0
77.25,1646666214.0,0
77.22,1646666215.0,0
77.17,1646666216.0,0
77.13,1646666217.0,0
77.1,1646666218.0,0
77.05,1646666219.0,0
77.0,1646666220.0,0
76.95,1646666221.0,0
76.9,1646666222.0,0
76.83,1646666223.0,0
76.82,1646666224.0,0
76.78,1646666225.0,0
76.73,1646666226.0,0
76.67,1646666227.0,0
76.57,1646666228.0,0
76.43,1646666229.0,0
76.28,1646666230.0,0
76.17,1646666231.0,0
76.05,1646666232.0,0
75.97,1646666233.0,0
75.88,1646666234.0,0
75.83,1646666235.0,0
75.8,1646666236.0,0
75.78,1646666237.0,0
75.78,1646666238.0,0
75.8,1646666239.0,0
75.82,1646666240.0,0
75.85,1646666241.0,0
75.88,1646666242.0,0
75.93,1646666243.0,0
76.0,1646666244.0,0
76.03,1646666245.0,0
76.02,1646666246.0,0
76.0,1646666247.0,0
75.98,1646666248.0,0
75.93,1646666249.0,0
75.87,1646666250.0,0
75.8,1646666251.0,0
75.73,1646666252.0,0
75.67,1646666253.0,0
75.62,1646666254.0,0
75.6,1646666255.0,0
75.65,1646666256.0,0
75.72,1646666257.0,0
75.8,1646666258.0,0
75.92,1646666259.0,0
76.02,1646666260.0,0
76.12,1646666261.0,0
76.25,1646666262.0,0
76.35,1646666263.0,0
76.43,1646666264.0,0
76.53,1646666265.0,0
76.63,1646666266.0,0
76.73,1646666267.0,0
76.87,1646666268.0,0
77.02,1646666269.0,0
77.15,1646666270.0,0
77.23,1646666271.0,0
77.43,1646666272.0,0
77.62,1646666273.0,0
77.83,1646666274.0,0
78.02,1646666275.0,0
78.17,1646666276.0,0
78.27,1646666277.0,0
78.47,1646666278.0,0
78.65,1646666279.0,0
78.65,1646666280.0,0
78.65,1646666281.0,0
78.72,1646666282.0,0
78.77,1646666283.0,0
78.77,1646666284.0,0
78.8,1646666285.0,0
78.8,1646666286.0,0
78.63,1646666287.0,0
78.38,1646666288.0,0
78.13,1646666289.0,0
77.9,1646666290.0,0
77.67,1646666291.0,0
77.42,1646666292.0,0
76.95,1646666293.0,0
76.57,1646666294.0,0
76.15,1646666295.0,0
75.73,1646666296.0,0
75.35,1646666297.0,0
74.98,1646666298.0,0
74.58,1646666299.0,0
74.18,1646666300.0,0
73.75,1646666301.0,0
73.32,1646666302.0,0
72.88,1646666303.0,0
72.52,1646666304.0,0
72.12,1646666305.0,0
71.67,1646666306.0,0
71.28,1646666307.0,0
70.92,1646666308.0,0
70.57,1646666309.0,0
70.27,1646666310.0,0
69.97,1646666311.0,0
69.7,1646666312.0,0
69.48,1646666313.0,0
69.27,1646666314.0,0
69.03,1646666315.0,0
68.7,1646666316.0,0
68.45,1646666317.0,0
68.18,1646666318.0,0
67.92,1646666319.0,0
67.73,1646666320.0,0
67.55,1646666321.0,0
67.33,1646666322.0,0
67.3,1646666323.0,0
67.25,1646666324.0,0
67.22,1646666325.0,0
67.2,1646666326.0,0
67.22,1646666327.0,0
67.22,1646666328.0,0
67.2,1646666329.0,0
67.18,1646666330.0,0
67.22,1646666331.0,0
67.1,1646666332.0,0
67.0,1646666333.0,0
66.85,1646666334.0,0
66.7,1646666335.0,0
66.57,1646666336.0,0
66.5,1646666337.0,0
66.32,1646666338.0,0
66.13,1646666339.0,0
66.15,1646666340.0,0
66.18,1646666341.0,0
66.13,1646666342.0,0
66.1,1646666343.0,0
66.07,1646666344.0,0
66.02,1646666345.0,0
66.02,1646666346.0,0
66.2,1646666347.0,0
66.45,1646666348.0,0
66.7,1646666349.0,0
66.95,1646666350.0,0
67.18,1646666351.0,0
67.42,1646666352.0,0
67.87,1646666353.0,0
68.22,1646666354.0,0
68.58,1646666355.0,0
68.93,1646666356.0,0
69.23,1646666357.0,0
69.52,1646666358.0,0
69.8,1646666359.0,0
70.08,1646666360.0,0
70.38,1646666361.0,0
70.7,1646666362.0,0
71.02,1646666363.0,0
71.25,1646666364.0,0
71.57,1646666365.0,0
71.98,1646666366.0,0
72.33,1646666367.0,0
72.67,1646666368.0,0
73.02,1646666369.0,0
73.35,1646666370.0,0
73.7,1646666371.0,0
74.02,1646666372.0,0
74.3,1646666373.0,0
74.58,1646666374.0,0
74.88,1646666375.0,0
75.23,1646666376.0,0
75.53,1646666377.0,0
75.85,1646666378.0,0
76.13,1646666379.0,0
76.38,1646666380.0,0
76.63,1646666381.0,0
76.88,1646666382.0,0
76.97,1646666383.0,0
77.03,1646666384.0,0
77.05,1646666385.0,0
77.07,1646666386.0,0
77.05,1646666387.0,0
77.03,1646666388.0,0
77.02,1646666389.0,0
77.02,1646666390.0,0
77.02,1646666391.0,0
77.07,1646666392.0,0
77.1,1646666393.0,0
77.15,1646666394.0,0
77.22,1646666395.0,0
77.27,1646666396.0,0
77.28,1646666397.0,0
77.3,1646666398.0,0
77.32,1646666399.0,0
77.32,1646666400.0,0
77.32,1646666401.0,0
77.33,1646666402.0,0
77.38,1646666403.0,0
77.43,1646666404.0,0
77.5,1646666405.0,0
77.55,1646666406.0,0
77.57,1646666407.0,0
77.6,1646666408.0,0
77.62,1646666409.0,0
77.62,1646666410.0,0
77.63,1646666411.0,0
77.67,1646666412.0,0
77.72,1646666413.0,0
77.78,1646666414.0,0
77.87,1646666415.0,0
78.0,1646666416.0,0
78.13,1646666417.0,0
78.27,1646666418.0,0
78.42,1646666419.0,0
78.57,1646666420.0,0
78.7,1646666421.0,0
78.82,1646666422.0,0
78.92,1646666423.0,0
79.02,1646666424.0,0
79.08,1646666425.0,0
79.15,1646666426.0,0
79.18,1646666427.0,0
79.22,1646666428.0,0
79.23,1646666429.0,0
79.23,1646666430.0,1
79.22,1646666431.0,1
79.18,1646666432.0,1
79.1,1646666433.0,1
78.98,1646666434.0,1
78.82,1646666435.0,1
78.58,1646666436.0,1
78.28,1646666437.0,1
78.15,1646666438.0,1
78.28,1646666439.0,1
78.6,1646666440.0,1
78.95,1646666441.0,1
79.28,1646666442.0,1
79.58,1646666443.0,1
80.02,1646666444.0,1
80.48,1646666445.0,1
81.07,1646666446.0,1
81.57,1646666447.0,1
82.0,1646666448.0,1
82.42,1646666449.0,1
82.8,1646666450.0,1
83.15,1646666451.0,1
83.48,1646666452.0,1
83.9,1646666453.0,1
84.1,1646666454.0,1
84.35,1646666455.0,1
84.58,1646666456.0,1
84.8,1646666457.0,1
85.0,1646666458.0,1
85.2,1646666459.0,1
85.38,1646666460.0,1
85.57,1646666461.0,1
85.75,1646666462.0,1
85.92,1646666463.0,1
85.97,1646666464.0,1
85.98,1646666465.0,1
86.03,1646666466.0,1
86.12,1646666467.0,1
86.2,1646666468.0,1
86.3,1646666469.0,1
86.42,1646666470.0,1
86.53,1646666471.0,1
86.65,1646666472.0,1
86.75,1646666473.0,1
86.85,1646666474.0,1
86.88,1646666475.0,1
86.88,1646666476.0,1
86.88,1646666477.0,1
86.88,1646666478.0,1
86.88,1646666479.0,1
86.88,1646666480.0,1
86.9,1646666481.0,1
86.88,1646666482.0,1
86.87,1646666483.0,1
86.83,1646666484.0,1
86.8,1646666485.0,1
86.77,1646666486.0,1
86.77,1646666487.0,1
86.78,1646666488.0,1
86.83,1646666489.0,1
86.92,1646666490.0,1
87.02,1646666491.0,1
87.13,1646666492.0,1
87.27,1646666493.0,1
87.4,1646666494.0,1
87.57,1646666495.0,1
87.8,1646666496.0,1
88.08,1646666497.0,1
88.22,1646666498.0,1
88.08,1646666499.0,1
87.77,1646666500.0,1
87.43,1646666501.0,1
87.12,1646666502.0,1
86.8,1646666503.0,1
86.38,1646666504.0,1
86.0,1646666505.0,1
85.48,1646666506.0,1
85.07,1646666507.0,1
84.72,1646666508.0,1
84.48,1646666509.0,1
84.25,1646666510.0,1
84.05,1646666511.0,1
83.83,1646666512.0,1
83.53,1646666513.0,1
83.43,1646666514.0,1
83.28,1646666515.0,1
83.15,1646666516.0,1
83.03,1646666517.0,1
82.95,1646666518.0,1
82.87,1646666519.0,1
82.8,1646666520.0,1
82.72,1646666521.0,1
82.63,1646666522.0,1
82.55,1646666523.0,1
82.58,1646666524.0,1
82.63,1646666525.0,1
82.67,1646666526.0,1
82.68,1646666527.0,1
82.7,1646666528.0,1
82.72,1646666529.0,1
82.73,1646666530.0,1
82.73,1646666531.0,1
82.73,1646666532.0,1
82.72,1646666533.0,1
82.68,1646666534.0,1
82.63,1646666535.0,1
82.58,1646666536.0,1
82.52,1646666537.0,1
82.43,1646666538.0,1
82.33,1646666539.0,1
82.23,1646666540.0,1
82.12,1646666541.0,1
82.07,1646666542.0,1
82.02,1646666543.0,1
82.0,1646666544.0,1
82.0,1646666545.0,1
82.02,1646666546.0,1
82.03,1646666547.0,1
82.02,1646666548.0,1
81.98,1646666549.0,1
81.92,1646666550.0,1
81.83,1646666551.0,1
81.75,1646666552.0,1
81.68,1646666553.0,1
81.65,1646666554.0,1
81.62,1646666555.0,1
81.57,1646666556.0,1
81.48,1646666557.0,1
81.37,1646666558.0,1
81.25,1646666559.0,1
81.12,1646666560.0,1
80.97,1646666561.0,1
80.82,1646666562.0,1
80.72,1646666563.0,1
80.62,1646666564.0,1
80.47,1646666565.0,1
80.32,1646666566.0,1
80.17,1646666567.0,1
80.02,1646666568.0,1
79.77,1646666569.0,1
79.53,1646666570.0,1
79.32,1646666571.0,1
79.12,1646666572.0,1
78.93,1646666573.0,1
78.77,1646666574.0,1
78.6,1646666575.0,1
78.45,1646666576.0,1
78.28,1646666577.0,1
78.12,1646666578.0,1
77.97,1646666579.0,1
77.82,1646666580.0,1
77.68,1646666581.0,1
77.55,1646666582.0,1
77.43,1646666583.0,1
77.32,1646666584.0,1
77.22,1646666585.0,1
77.08,1646666586.0,1
76.95,1646666587.0,1
76.82,1646666588.0,1
76.68,1646666589.0,1
76.55,1646666590.0,1
76.43,1646666591.0,1
76.32,1646666592.0,1
76.23,1646666593.0,1
76.17,1646666594.0,1
76.18,1646666595.0,1
76.2,1646666596.0,1
76.22,1646666597.0,1
76.25,1646666598.0,1
76.28,1646666599.0,1
76.32,1646666600.0,1
76.37,1646666601.0,1
76.38,1646666602.0,1
76.42,1646666603.0,1
76.43,1646666604.0,1
76.47,1646666605.0,1
76.5,1646666606.0,1
76.53,1646666607.0,1
76.58,1646666608.0,1
76.63,1646666609.0,1
76.7,1646666610.0,1
76.77,1646666611.0,1
76.85,1646666612.0,1
76.93,1646666613.0,1
77.02,1646666614.0,1
77.1,1646666615.0,1
77.22,1646666616.0,1
77.35,1646666617.0,1
77.5,1646666618.0,1
77.67,1646666619.0,1
77.83,1646666620.0,1
78.0,1646666621.0,1
78.17,1646666622.0,1
78.35,1646666623.0,1
78.53,1646666624.0,1
78.72,1646666625.0,1
78.9,1646666626.0,1
79.07,1646666627.0,1
79.23,1646666628.0,1
79.38,1646666629.0,1
79.53,1646666630.0,1
79.68,1646666631.0,1
79.83,1646666632.0,1
79.98,1646666633.0,1
80.13,1646666634.0,1
80.28,1646666635.0,1
80.43,1646666636.0,1
80.6,1646666637.0,1
80.75,1646666638.0,1
80.9,1646666639.0,1
81.03,1646666640.0,1
81.17,1646666641.0,1
81.32,1646666642.0,1
81.47,1646666643.0,1
81.63,1646666644.0,1
81.78,1646666645.0,1
81.95,1646666646.0,1
82.12,1646666647.0,1
82.28,1646666648.0,1
82.45,1646666649.0,1
82.62,1646666650.0,1
82.78,1646666651.0,1
82.95,1646666652.0,1
83.1,1646666653.0,1
83.27,1646666654.0,1
83.42,1646666655.0,1
83.55,1646666656.0,1
83.68,1646666657.0,1
83.82,1646666658.0,1
83.97,1646666659.0,1
84.12,1646666660.0,1
84.28,1646666661.0,1
84.47,1646666662.0,1
84.65,1646666663.0,1
84.85,1646666664.0,1
85.02,1646666665.0,1
85.18,1646666666.0,1
85.33,1646666667.0,1
85.47,1646666668.0,1
85.6,1646666669.0,1
85.72,1646666670.0,1
85.83,1646666671.0,1
85.93,1646666672.0,1
86.03,1646666673.0,1
86.12,1646666674.0,1
86.2,1646666675.0,1
86.23,1646666676.0,1
86.27,1646666677.0,1
86.28,1646666678.0,1
86.28,1646666679.0,1
86.27,1646666680.0,1
86.25,1646666681.0,1
86.23,1646666682.0,1
86.2,1646666683.0,1
86.17,1646666684.0,1
86.15,1646666685.0,1
86.13,1646666686.0,1
86.13,1646666687.0,1
86.13,1646666688.0,1
86.17,1646666689.0,1
86.2,1646666690.0,1
86.22,1646666691.0,1
86.25,1646666692.0,1
86.28,1646666693.0,1
86.33,1646666694.0,1
86.38,1646666695.0,1
86.43,1646666696.0,1
86.48,1646666697.0,1
86.55,1646666698.0,1
86.63,1646666699.0,1
86.73,1646666700.0,1
86.83,1646666701.0,1
86.92,1646666702.0,1
86.98,1646666703.0,1
87.05,1646666704.0,1
87.13,1646666705.0,1
87.23,1646666706.0,1
87.33,1646666707.0,1
87.45,1646666708.0,1
87.57,1646666709.0,1
87.7,1646666710.0,1
87.83,1646666711.0,1
87.97,1646666712.0,1
88.1,1646666713.0,1
88.2,1646666714.0,1
88.32,1646666715.0,1
88.43,1646666716.0,1
88.57,1646666717.0,1
88.68,1646666718.0,1
88.78,1646666719.0,1
88.85,1646666720.0,1
88.88,1646666721.0,1
88.87,1646666722.0,1
88.83,1646666723.0,1
88.77,1646666724.0,1
88.72,1646666725.0,1
88.67,1646666726.0,1
88.65,1646666727.0,1
88.65,1646666728.0,1
88.63,1646666729.0,1
88.62,1646666730.0,1
88.6,1646666731.0,1
88.57,1646666732.0,1
88.52,1646666733.0,1
88.45,1646666734.0,1
88.37,1646666735.0,1
88.28,1646666736.0,1
88.2,1646666737.0,1
88.13,1646666738.0,1
88.07,1646666739.0,1
88.03,1646666740.0,1
88.0,1646666741.0,1
87.97,1646666742.0,1
87.95,1646666743.0,1
87.93,1646666744.0,1
87.88,1646666745.0,1
87.83,1646666746.0,1
87.77,1646666747.0,1
87.7,1646666748.0,1
87.63,1646666749.0,1
87.58,1646666750.0,1
87.53,1646666751.0,1
87.47,1646666752.0,1
87.4,1646666753.0,1
87.32,1646666754.0,1
87.23,1646666755.0,1
87.15,1646666756.0,1
87.07,1646666757.0,1
87.0,1646666758.0,1
86.92,1646666759.0,1
86.83,1646666760.0,1
86.73,1646666761.0,1
86.65,1646666762.0,1
86.55,1646666763.0,1
86.45,1646666764.0,1
86.35,1646666765.0,1
86.23,1646666766.0,1
86.13,1646666767.0,1
86.02,1646666768.0,1
85.92,1646666769.0,1
85.82,1646666770.0,1
85.73,1646666771.0,1
85.65,1646666772.0,1
85.57,1646666773.0,1
85.5,1646666774.0,1
85.42,1646666775.0,1
85.35,1646666776.0,1
85.28,1646666777.0,1
85.2,1646666778.0,1
85.13,1646666779.0,1
85.1,1646666780.0,1
85.08,1646666781.0,1
85.13,1646666782.0,1
85.2,1646666783.0,1
85.3,1646666784.0,1
85.42,1646666785.0,1
85.55,1646666786.0,1
85.67,1646666787.0,1
85.77,1646666788.0,1
85.87,1646666789.0,1
85.95,1646666790.0,1
86.03,1646666791.0,1
86.13,1646666792.0,1
86.22,1646666793.0,1
